member_casual,hour_of_start,total_rides
casual,19,16326
casual,23,6121
casual,0,5605
member,2,2314
member,9,38667
casual,12,19843
casual,17,32377
member,21,22027
casual,22,8041
member,4,1748
member,0,6231
casual,1,3831
casual,10,12661
member,12,42717
casual,13,21392
casual,14,23452
casual,15,26658
casual,16,31126
member,17,97643
member,19,43094
member,22,15500
member,23,9702
casual,3,1382
member,1,3755
casual,7,7827
casual,8,12281
member,10,31601
casual,11,16569
member,13,43765
member,14,45720
member,15,61619
member,16,90136
casual,18,24386
casual,20,11019
casual,6,3795
member,3,1514
casual,5,1581
casual,2,2643
member,5,7136
member,6,22363
member,7,50246
member,8,67914
casual,9,10766
member,11,37327
member,18,68030
member,20,28389
casual,21,9892
casual,4,1105